Database_name  	Query_name     	ShapeTanimoto  ChemTanimoto    ShapeSim   ChemSim   ShapeSimPval  ChemSimPval   TverskyShape  TverskyChem  
ZINC01535869   	****           	   0.340          0.338         0.500      0.474    9.435551e-02  1.504746e-01    0.640         0.639        
ZINC03775164   	****           	   0.419          0.414         0.561      0.535    1.386429e-02  2.425704e-02    0.727         0.723        
ZINC03809801   	****           	   0.427          0.420         0.570      0.543    8.378282e-03  1.586744e-02    0.745         0.739        
ZINC03812851   	****           	   0.447          0.443         0.583      0.559    6.978313e-03  1.191815e-02    0.750         0.747        
ZINC03812885   	****           	   0.364          0.359         0.523      0.498    5.274587e-02  8.536371e-02    0.638         0.635        
ZINC03814157   	****           	   0.235          0.227         0.439      0.409    4.149920e-01  6.195465e-01    0.487         0.478        
ZINC03814158   	****           	   0.375          0.369         0.528      0.502    4.590851e-02  7.728166e-02    0.657         0.653        
ZINC03814159   	****           	   0.228          0.227         0.415      0.386    6.620926e-01  8.469271e-01    0.512         0.511        
ZINC03814160   	****           	   0.226          0.214         0.417      0.380    6.374513e-01  8.849226e-01    0.494         0.478        
ZINC03814161   	****           	   0.274          0.272         0.451      0.423    3.299824e-01  4.895331e-01    0.561         0.560        
ZINC03814162   	****           	   0.263          0.248         0.451      0.414    3.251191e-01  5.756357e-01    0.531         0.513        
ZINC03814163   	****           	   0.323          0.321         0.487      0.461    1.335596e-01  2.135322e-01    0.619         0.617        
ZINC03814164   	****           	   0.242          0.241         0.427      0.398    5.376413e-01  7.378094e-01    0.524         0.521        
ZINC03814165   	****           	   0.231          0.231         0.418      0.389    6.385984e-01  8.292961e-01    0.520         0.519        
ZINC03814166   	****           	   0.276          0.275         0.462      0.434    2.126966e-01  3.596015e-01    0.612         0.611        
ZINC03814167   	****           	   0.335          0.322         0.505      0.471    8.582179e-02  1.646467e-01    0.607         0.594        
ZINC03814168   	****           	   0.325          0.319         0.489      0.460    1.278308e-01  2.179164e-01    0.619         0.613        
ZINC03814169   	****           	   0.231          0.230         0.418      0.388    6.403948e-01  8.316849e-01    0.519         0.519        
ZINC03814170   	****           	   0.349          0.338         0.509      0.477    7.780015e-02  1.466582e-01    0.635         0.625        
ZINC03814171   	****           	   0.283          0.282         0.459      0.432    2.747333e-01  4.152027e-01    0.571         0.569        
ZINC03814172   	****           	   0.225          0.224         0.413      0.384    6.881262e-01  8.716984e-01    0.515         0.514        
ZINC03814173   	****           	   0.340          0.337         0.509      0.483    4.855543e-02  8.756436e-02    0.681         0.678        
ZINC03814174   	****           	   0.228          0.227         0.427      0.398    5.443450e-01  7.746788e-01    0.551         0.550        
ZINC03814175   	****           	   0.306          0.304         0.487      0.461    9.192930e-02  1.644037e-01    0.652         0.650        
ZINC03814176   	****           	   0.380          0.375         0.531      0.504    3.401533e-02  6.028605e-02    0.693         0.689        
ZINC03814177   	****           	   0.250          0.247         0.432      0.401    4.947517e-01  7.094965e-01    0.544         0.541        
ZINC03814178   	****           	   0.251          0.246         0.439      0.408    4.022523e-01  6.474964e-01    0.573         0.566        
ZINC03814179   	****           	   0.286          0.285         0.459      0.432    2.696198e-01  4.110143e-01    0.580         0.578        
ZINC03814180   	****           	   0.358          0.350         0.516      0.486    4.842309e-02  9.408731e-02    0.681         0.673        
ZINC03814181   	****           	   0.358          0.355         0.524      0.497    2.834089e-02  5.241195e-02    0.701         0.698        
ZINC03814182   	****           	   0.255          0.255         0.443      0.415    3.633388e-01  5.585536e-01    0.580         0.580        
ZINC03814183   	****           	   0.476          0.473         0.605      0.583    3.348411e-03  5.497682e-03    0.773         0.771        
ZINC03814184   	****           	   0.396          0.392         0.548      0.522    1.533012e-02  2.723458e-02    0.724         0.721        
ZINC03814185   	****           	   0.428          0.425         0.572      0.549    6.993234e-03  1.191959e-02    0.751         0.748        
ZINC03814186   	****           	   0.264          0.260         0.443      0.413    3.926405e-01  5.900024e-01    0.552         0.548        
ZINC03814187   	****           	   0.380          0.378         0.534      0.510    2.638888e-02  4.478538e-02    0.705         0.703        
ZINC03814188   	****           	   0.376          0.374         0.533      0.509    2.435193e-02  4.176201e-02    0.708         0.706        
ZINC03814189   	****           	   0.227          0.222         0.416      0.383    6.611661e-01  8.801571e-01    0.526         0.520        
ZINC03814190   	****           	   0.290          0.287         0.472      0.443    1.595170e-01  2.862023e-01    0.628         0.623        
ZINC03814191   	****           	   0.288          0.263         0.467      0.422    2.252562e-01  4.966242e-01    0.565         0.536        
ZINC03814192   	****           	   0.316          0.311         0.485      0.455    1.218889e-01  2.224061e-01    0.640         0.634        
ZINC03814193   	****           	   0.332          0.329         0.502      0.476    5.997621e-02  1.060586e-01    0.672         0.670        
ZINC03814194   	****           	   0.372          0.354         0.524      0.487    4.860969e-02  1.081862e-01    0.669         0.654        
ZINC03814195   	****           	   0.287          0.287         0.463      0.436    2.256370e-01  3.578341e-01    0.608         0.607        
ZINC03814196   	****           	   0.269          0.268         0.449      0.421    3.229676e-01  5.012576e-01    0.586         0.585        
ZINC03814197   	****           	   0.328          0.317         0.491      0.457    1.210223e-01  2.305574e-01    0.628         0.617        
ZINC03814198   	****           	   0.226          0.223         0.417      0.386    6.522758e-01  8.645330e-01    0.530         0.527        
ZINC03814199   	****           	   0.365          0.359         0.523      0.494    3.795878e-02  7.074551e-02    0.691         0.685        
ZINC03814200   	****           	   0.251          0.247         0.433      0.402    4.841478e-01  7.045091e-01    0.543         0.538        
